Link;Authors/Publication Entity;Year of publication;Authors;Short description (shortened)
https://www.adb.org/sites/default/files/project-documents/52014/52014-001-tacr-en_2.pdf;warren, Roscoe and Jeuken/Asian Development Bank;2021;Warren et al. (2021);This technical guidance introduces the use of Dynamic Adaptive Pathways Planning as an approach for dealing with (deep) uncertainties in integrated flood risk management, and is intended for use by ADB officers and Developing member countries partners.
https://pure-oai.bham.ac.uk/ws/portalfiles/portal/161486771/Ferranti_etal_2021_adaptation_pathways.pdf;Ferranti, Greenham and Wood / Tyndall Centre for Climate Change Research (University of Birmingham, School of Engineering);2021;Ferranti et al. (2021);This briefing introduces adaptation pathways for infrastructure resilience under uncertain future climate conditions. It includes a framework with nine steps for developing pathways (e.g., defining scope, identifying hazards, generating options, and evaluating pathways). Case studies from the Thames Estuary, Dutch Delta Programme, and others illustrate the method, alongside stakeholder feedback and benefits. The approach combines Quinn et al.'s (2018) Rail Adapt framework with practical applications for UK infrastructure planning.
https://terranova.org.au/repository/southern-slopes-nrm-collection/adaptation-pathways-a-playbook-for-developing-options-for-climate-change-adaptation-in-natural-resource-management/scarp-adaptation-pathways-a-playbook-final.pdf ;Bosomworth et al. / Southern Slopes Climate Change Adaptation Research Partnership (SCARP);2015;Bosomworth et al. (2015);A playbook guiding users through climate change adaptation pathways. It outlines five key activities ('plays') for planning and adaptation, with brief descriptions and references to additional resources for detailed guidance.
https://terranova.org.au/repository/southern-slopes-nrm-collection/southern-slopes-information-portal-report-climate-change-adaptation-information-for-natural-resource-planning-and-implementation-1;Wallis et al. / Southern Slopes Climate Change Adaptation Research Partnership (SCARP);2015;Wallis et al. (2015);Two complementary reports: a playbook on adaptation pathways detailing five activities and a technical report exploring these steps in depth. The latter includes links to resources and literature, enhancing understanding of climate change adaptation planning.
https://climatelondon.org/wp-content/uploads/2019/10/User-Guide-for-Applied-Adaptation-Pathways.pdf;Siebentritt and Stafford Smith / Seed Consulting Services and CSIRO;2016;Siebentritt & Stafford (2016);A non-technical guide to developing and applying adaptation pathways in organizations, emphasizing critical elements for participatory planning. The process is adaptable for quantitative inputs but focuses on user-friendly methods.
https://digitalcommons.humboldt.edu/hsuslri_state/61/;California Sea Level Rise Task Force, California Ocean Protection Council, California Ocean Science Trust;2024;California Sea Level Rise Guidance (2024);This report integrates the best available science on sea level rise and coastal hazards. It provides practical guidance for planning under different scenarios, including adaptation pathways for Californiaâ€™s coastal management.
https://www2.gov.bc.ca/assets/gov/farming-natural-resources-and-industry/agriculture-and-seafood/agricultural-land-and-environment/climate-action/user-guide-adaptation-pathways-preparedness.pdf;Coulter, L. / Prepared for the British Columbia (Canada) Ministry of Agriculture;2019;Coulter (2019);Two reports provide guidance for agricultural communities on shared adaptation goals and pathways. A technical guide complements this with a detailed application of adaptation in food production, including a hypothetical case study.
https://static1.squarespace.com/static/5e8397698c906c4df39838f5/t/63724f4de5ed8741eb4bac94/1668435791913/CRIDA_June_2022.pdf;Mendoza et al / UNESCO and ICIWaRM;2018;Mendoza et al. (2018);A decision-making framework for climate risk-informed analysis (CRIDA), targeting water resource managers and infrastructure planners. It supports robust planning under uncertainty for flood risk and water supply management.
https://kyst.dk/media/jw2fz3fo/guide-to-dynamic-planning-of-climate-adaptation-and-management-of-the-risk-of-flooding-in-muni.pdf;Danish Coastal Authority;2020;Danish Coastal Authority (2020);A concise guide to dynamic planning for climate adaptation and flood risk management. It aims to help municipalities in Denmark adopt adaptive, risk-based approaches to planning and mitigation.
https://environment.govt.nz/assets/publications/Coastal-hazards-and-climate-change-guidance-2024-ME-1805.pdf;Ministry for the Environment NZ 2024;2024;Ministry for the Environment (2024);New Zealand's Ministry developed this guidance for adapting to coastal hazards under climate change. It follows a 10-step decision cycle, integrating short- and long-term planning for adaptive pathways and coastal risk management.
