Name	Do you want to submit a tool or a resource?	Name	Link	Language	Accessibility	Prespecified (A)	Iterative	Exploration (A)	Prespecified (S)	Exploration (S)	Search (S)	Exp. Value	High. Mom.	Regret	Satisficing	Global Sensitivity Analysis	Subspace Partitioning	Short description	Search (A)
EMA Workbench	I want to submit a tool	EMA Workbench	https://emaworkbench.readthedocs.io/en/latest/	Python	B: some knowledge required	extensive coverage	extensive coverage	extensive coverage	extensive coverage	extensive coverage	extensive coverage	some coverage	some coverage	some coverage	some coverage	extensive coverage	extensive coverage	Exploratory Modeling and Analysis (EMA) is a research methodology that uses computational experiments to analyze complex and uncertain systems (Bankes, 1993). That is, exploratory modeling aims at offering computational decision support for decision making under deep uncertainty and Robust Decision Making.	extensive coverage
Rhodium	I want to submit a tool	Rhodium	https://github.com/Project-Platypus/Rhodium	Python	B: some knowledge required	extensive coverage	extensive coverage	extensive coverage	extensive coverage	extensive coverage		some coverage	some coverage	some coverage	some coverage	extensive coverage	extensive coverage	Rhodium is an open source Python library for robust decision making (RDM), many-objective robust decision making (MORDM), and exploratory modeling. These decision-support frameworks enable the identification of robust strategies for the management of complex environmental systems, by evaluating the tradeoffs among candidate strategies, and characterizing their vulnerabilities. Robust strategies refer to management options that perform sufficiently well or acceptably under a range of potential system conditions, rather than optimally in a single, nominal state of the world. Exploratory modeling allows for the simulation of the system under an ensemble of states of the world, so as to discover the ones with consequential effects on the system. Rhodium facilitates rapid application of the RDM and MORDM frameworks by providing a suite of optimization, visualization, scenario discovery, and sensitivity analysis functions. Rhodium is written in Python and can interface with models written in Python, C and C++, Fortran, R, and Excel.	extensive coverage
openMORDM	I want to submit a tool	openMORDM	https://github.com/OpenMORDM/OpenMORDM	R	B: some knowledge required	extensive coverage	extensive coverage	extensive coverage	extensive coverage	extensive coverage		some coverage	some coverage	some coverage	some coverage	extensive coverage	extensive coverage	OpenMORDM is an open-source R library for Multiobjective Robust Decision Making (MORDM). The design of OpenMORDM and a walkthrough of applying MORDM to an environmental model is detailed in the following journal article: Hadka, D., Herman, J., Reed, P.M., Keller, K. An Open Source Framework for Many-Objective Robust Decision Making. Environmental Modelling & Software, 74:114-129, 2015. DOI:10.1016/j.envsoft.2015.07.014.	extensive coverage
OpenMOLE	I want to submit a tool	OpenMOLE	https://openmole.org/	Graphical User Interface (GUI)	B: some knowledge required	extensive coverage	extensive coverage			extensive coverage	extensive coverage					extensive coverage		OpenMOLE has been developed since 2008 as a free and open-source platform. It offers tools to run, explore, diagnose and optimize your numerical model, taking advantage of distributed computing environments. With OpenMOLE you can explore your already developed model, in any language (Java, Binary exe, NetLogo, R, SciLab, Python, C++, etc.)	extensive coverage
PRIM (Python package)	I want to submit a tool	PRIM (Python package)	https://pypi.org/project/PRIM/0.1/	Python	B: some knowledge required												extensive coverage	Prim's algorithm is a greedy algorithm used to find the Minimum Spanning Tree (MST) of a connected, undirected graph. The MST is a subset of the edges that connects all vertices in the graph with the minimum possible total edge weight.	
Robustness Analysis Producing Intelligent Decisions (RAPID)	I want to submit a tool	Robustness Analysis Producing Intelligent Decisions (RAPID)	https://github.com/cameronmcphail/RAPID	Python	B: some knowledge required							extensive coverage	extensive coverage	extensive coverage	extensive coverage			To aid decision making about environmental systems under deep uncertainty, robustness metrics are commonly used to represent system performance over a number of scenarios. However, there are many robustness metrics and many ways of generating scenarios, making it difficult to know which to choose in order to quantify system robustness and to make robust decisions. To address this shortcoming, we introduce a generic guidance framework to assist with the identification of the most robust decision alternatives, as well as the RAPID (Robustness Analysis Producing Intelligent Decisions) software package which is a consistent and easy-to-use implementation of the framework.	
sdtoolkit	I want to submit a tool	sdtoolkit	https://uncertainfutures.github.io/tools/sdtoolkit/	R	B: some knowledge required												extensive coverage	"The package provides interactive functions for scenario discovery, stepping the user through the use of PRIM. PRIM identifies ""boxes"" in parameter space with ""interesting"" scenarios, i.e. bounds on parameters where scenarios meets some pre-defined criteria."	
SALib	I want to submit a tool	SALib	https://salib.readthedocs.io/en/latest/	Python	B: some knowledge required					extensive coverage						extensive coverage		Python implementations of commonly used sensitivity analysis methods, including Sobol, Morris, and FAST methods. Useful in systems modeling to calculate the effects of model inputs or exogenous factors on outputs of interest.	
scikit-learn	I want to submit a tool	scikit-learn	https://scikit-learn.org/stable/	Python	B: some knowledge required												extensive coverage	Scikit-learn is an open source machine learning library that supports supervised and unsupervised learning. It also provides various tools for model fitting, data preprocessing, model selection, model evaluation, and many other utilities.	
ARCH Resilience Pathways Visualization Tool	I want to submit a tool	ARCH Resilience Pathways Visualization Tool	https://rpvt.arch.urban.tecnalia.dev/	Web app	A: suited for beginners	extensive coverage			extensive coverage									The RPVT provides a user-friendly graphical interface to create and visualize resilience pathways. It allows users to select, prioritize, and sequence different possible measures over time, which can be deployed as circumstances evolve. Measures can be selected and prioritized according to various performance metrics, primarily addressing floods and heatwaves, but also earthquakes and drought/water scarcity.	
